ID,2019 Total Population,OBJECTID *,Shape__Area *,Shape__Length *,Shape *
3630000,1041,1,215864.8132,1940.263956,Polygon
3630001,697,2,249715.5627,2086.336005,Polygon
3630002,1606,3,194340.3098,1947.984334,Polygon
3630003,364,4,156220.7446,1809.840753,Polygon
3630004,637,5,269882.8208,2367.367183,Polygon
3630100,5,6,697851.8245,3535.943231,Polygon
3630101,541,7,169037.3105,1774.359159,Polygon
3630102,455,8,176089.0889,1859.921429,Polygon
3630103,803,9,153269.1311,1985.268628,Polygon
3630104,813,10,222941.4395,2052.7911,Polygon
3630105,657,11,179494.8281,2135.846583,Polygon
3630106,424,12,189822.3672,2014.815272,Polygon
3630107,252,13,161102.0532,1612.982595,Polygon
3630400,485,14,650989.9695,3293.205944,Polygon
3630401,758,15,287951.9443,2150.049254,Polygon
3630402,1081,16,444093.3367,2707.402995,Polygon
3630403,1081,17,209276.9353,2495.762075,Polygon
3630404,1647,18,190552.554,1959.011965,Polygon
3630405,1182,19,286143.7385,2238.255411,Polygon
3630406,1182,20,197113.3538,2035.32587,Polygon
3630407,1530,21,243597.4148,2429.553336,Polygon
3630408,899,22,347357.8601,2519.52383,Polygon
